Text,Emotion
complete degree time,Sad
printing handout tomorrow,Neutral
Got early admission to graduate school,Joy
Academic progress report was discouraging,Sad
professor invited research conference,Joy
Lecturer did not show ontime.,Angry
Attended academic colloquium,Neutral
afraid making wrong career choice,Fear
Attended thesis committee meeting,Neutral
Academic network creating universal positive change,Joy
Submitted lab report,Neutral
Lecturers sometime very annoying.,Angry
Scared of failing final year project,Fear
I got panick when there is viva.,Fear
They annoyed me so I angry with those.,Angry
Academic achievements creating lasting change,Joy
Fear of failing the entire semester,Fear
Attended methodology session,Neutral
Felt enraged about unfair treatment in lab,Angry
professor explain concept clearly,Angry
Professor offered independent study opportunity,Joy
Scared of advisor criticism,Fear
Got furious over unfair evaluation,Angry
Received scholarship notification today,Joy
Could not get a seat in exam hall,Sad
thesis defense flawless,Joy
professor sent course announcement,Neutral
Classmate intentionally disrupted my presentation,Angry
Worried I wonot get supervisors approval,Fear
got wait listed medical school,Sad
Attended faculty development,Neutral
exam scheduled next month,Neutral
Attended guest lecture,Neutral
I lost my wallet today I am vey sad about that.,Sad
Anxious that I will freeze during the exam,Fear
exams start two weeks,Neutral
 No one listens when I try to explain.,Angry
I am struggling with my academics.,Sad
Read assigned chapter,Neutral
Anxious about technical jargon,Fear
Attended mandatory orientation,Neutral
Attended research symposium,Neutral
Professor recommended me for Nobel consideration,Joy
today is club opening day,Neutral
campus parking fee ridiculously expensive,Angry
I am going to the computer lab.,Neutral
We had a joyful time preparing decorations,Joy
done with all these pointless group meetings.,Angry
Nervous about oral defense questions,Fear
Couldnot meet the deadline and very upset about that.,Sad
Instructor refused to acknowledge my work,Angry
Felt provoked by group disagreement,Angry
Academic mentor celebrating transcendent success,Joy
professor play favorite certain student,Angry
I need to print my notes.,Neutral
I miss my grandmother.,Sad
I hate this whole universe.,Angry
Could not join Sinhala society event,Sad
I felt proud to lead my team in a task,Joy
Research methodology changing world perspectives,Joy
Classmate dismissed my contributions,Angry
Worried about being excluded from team,Fear
I got mad with my friends.,Angry
I got nervous when there is a viva or something.,Fear
Got invited to exclusive academic retreat,Joy
Could not buy ticket for concert,Sad
Academic performance declining steadily,Sad
The weather was perfect for our outdoor class,Joy
succeed field,Fear
Worried about last minute changes,Fear
professor play music during study time,Angry
Attended office hours session,Neutral
I got selected as a vice president in club.,Joy
Completed explanatory study,Neutral
The lecturer never explains things properly.,Angry
I am independent girl,Neutral
Breakthrough moment in understanding theory,Joy
Lab experiment results were inconclusive,Sad
Classmate disrespected my academic work,Angry
Completed cultural research,Neutral
Attended the group meeting,Neutral
I am glad I managed to answer all questions,Joy
academic calendar conflict holiday,Angry
I miss my grandmother.,Sad
Nervous about class performance,Fear
Scared of losing confidence,Fear
anxious lab experiment result,Fear
community service project recognized,Joy
anxious living away family,Fear
Met with study group after class,Neutral
Friends went out without telling me,Sad
Completed behavioral study,Neutral
Felt provoked by research criticism,Angry
worried fail organic chemistry,Fear
Submitted methodological review,Neutral
Reviewed assignment guidelines,Neutral
worried social anxiety class,Fear
 My roommates leave a mess everywhere.,Angry
Lost my student ID before exams,Sad
campus maintenance work scheduled,Neutral
won hackathon competition,Joy
I went to campus yesterday.,Neutral
Nervous about class participation,Fear
I am angry with raggers.,Angry
I ate full chicken rice,Neutral
Attended scholarly presentation,Neutral
I met my bestfriend.,Joy
Submitted progress report,Neutral
Professor refused any positive evaluation,Sad
my assign computer always not working properly,Angry
Submitted theoretical analysis,Neutral
Attendance is compulsory for the undergraduates to face the end exam,Angry
academic calendar change constantly,Angry
I 'm worried I ddin't submit the right file.,Fear
Lecturer blamed on us .,Sad
We celebrated our friends success in the lab,Joy
Missed the registration for exam,Sad
I actually hate this academic preassure .,Angry
scared independent research project,Fear
The Wi-Fi never works when I need it the most,Angry
Academic committee questioned my progress,Sad
study resource online,Neutral
I can't work under this poor management.,Angry
taking note during lecture,Neutral
Had a peaceful evening by the campus lake,Joy
Attended scholarly meeting,Neutral
Got selected for ultimate universal recognition,Joy
angry at having to redo assignments multiple times.,Angry
Reviewed theoretical framework,Neutral
Nervous about thesis defense,Fear
understand advanced concept,Fear
Worried about class ranking,Fear
Submitted empirical study,Neutral
cafeteria serving pizza today,Neutral
Enjoyed the field trip so much .,Joy
Completed interdisciplinary research,Neutral
I have one repeat subject.,Sad
Completed survey research,Neutral
meeting academic advisor,Neutral
Reviewed sampling techniques,Neutral
Nervous about academic future,Fear
received full tuition scholarship,Joy
university bureaucracy infuriating,Angry
Academic goals seem unreachable now,Sad
Those seniors disturbing on us again and again.,Angry
The lecture is scheduled for 10 AM,Neutral
worried thesis writing process,Fear
campus shuttle service consistently late,Angry
registered online course,Neutral
I have a presentation tomorrow and im really nervous about it,Fear
Academic mentor completely withdrew support,Sad
Got rejected from competitive fellowship,Sad
afford next semester,Fear
Got selected for international academic program,Joy
Campus job interview went perfectly,Joy
I angry with university system in sri lanka,Angry
Got enraged by group conflict,Angry
Academic advisor believes in my potential,Joy
He copied my full assignment.,Angry
afford next semester,Fear
afraid academic probation,Fear
Could not attend Vesak celebrations,Sad
Fear of making a fool of myself,Fear
Submitted critical review,Neutral
Academic future requires major reconsideration,Sad
I went to study area to study.,Neutral
Worried about failing expectations,Fear
Research findings revolutionizing human knowledge,Joy
Got recommendation for prestigious internship,Joy
Nervous about exam results,Fear
campus food service quality declined drastically,Angry
worried chemistry lab safety,Fear
Submitted comparative analysis,Neutral
afraid disappointing mentor,Fear
Research project completely discredited,Sad
I was so happy my code worked in the lab,Joy
Professor questioned my data analysis,Sad
My experiment worked perfectly in the lab,Joy
Fear that I wonot finish my project on time,Fear
Filled out course evaluation form,Neutral
bus campus arrives minute,Neutral
I am worry about my upcoming exams.,Fear
I am not sure I will pass the final project.,Fear
Missed the bus after night class,Sad
Research presentation received standing ovation,Joy
laptop crashed lost assignment,Sad
Everything are unfair to me.,Angry
thesis proposal got rejected,Sad
Professor questioned my academic commitment,Sad
finished morning lecture,Neutral
balance academic social life,Sad
Completed inferential research,Neutral
Got invited to present at conference,Joy
campus newspaper published today,Neutral
Got selected for academic advisory committee,Joy
Worried about plagiarism accusations,Fear
Scared of group conflict,Fear
I passed all subjects.,Joy
Academic network facilitating career advancement,Joy
Today I am going to meet my family .,Joy
Missed the bus to Colombo trip,Sad
Exam season is comming.im not ready for that yet,Fear
My results are too low.,Sad
We took great photos at the campus park,Joy
complete assignment due illness,Sad
startup got accepted accelerator program,Joy
Completed bibliometric analysis,Neutral
failed in a project viva.,Sad
failed comprehensive exam,Sad
Felt frustrated with project obstacles,Angry
worried student loan debt,Fear
Felt insulted by peer feedback,Angry
Attended morning lecture as usual,Neutral
I am very happy to be rajarata uni student.,Joy
worried fail organic chemistry,Fear
worried impostor syndrome,Fear
Classmate ridiculed my suggestions,Angry
Classmate challenged me aggressively,Angry
Reviewed theoretical models,Neutral
Completed community research,Neutral
Professor offered position as visionary leader,Joy
Academic mentor expressed serious doubts,Sad
worried standardized test score,Fear
get research position applied,Sad
Classmate took advantage of my efforts,Angry
Academic goals seem impossible to achieve,Sad
Got excluded from honors recognition,Sad
Got frustrated with administrative delays,Angry
Stressed about final project.,Fear
I am very sad to see that.,Sad
Attended academic conference,Neutral
I met rude friends from univeristy.,Sad
Missed the only bus to home,Sad
afraid failing internship,Fear
My research idea was accepted.,Joy
Attended department meeting,Neutral
Today is my free day.,Neutral
scared professional school admission,Fear
I missed time we spent together.,Sad
Worried about research success,Fear
Lost one of my friend.,Sad
Our club meeting was full of laughter,Joy
chose wrong university,Fear
Attended writing center appointment,Neutral
campus dining hour ridiculously limited,Angry
I hate this work load its too much to handle.,Angry
 The lecturer ignores my questions on purpose.,Angry
I workd hard but not archieved the target.,Sad
Got dropped from advanced course,Sad
Afraid of failing program requirements,Fear
Scared of misunderstanding lecture material,Fear
Afraid of advisors criticism,Fear
handle pressure,Fear
Completed theoretical research,Neutral
Professor said I have bright future,Joy
what if I fail the final exam?,Fear
Went to a group discussion,Neutral
Academic achievements recognized by university,Joy
worried career path uncertainty,Fear
anxious meeting advisor,Fear
Professor expressed complete disappointment,Sad
I have 4 roommates,Neutral
Lecturer questioned my academic abilities,Sad
I am in front of the applied building.,Neutral
Felt angered by department decisions,Angry
worried professional networking,Fear
Academic achievements feel increasingly empty,Sad
Vacation is starting from tommorow .,Joy
Worried about failing assignments,Fear
I passed my semester exams at first attempt.,Joy
The lab equipment is always broken.,Angry
thesis advisor leaving university,Sad
Won academic excellence award,Joy
scared competitive internship process,Fear
got first statistic,Joy
The AC isnot working in the hall.,Neutral
Research project abandoned by committee,Sad
Instructor criticized my teamwork,Angry
They changed the plan without telling me.,Angry
I am studying at Rajarata Univeristy of sri lanka,Neutral
professor offered co teaching opportunity,Joy
Afraid of failing practical exam,Fear
Worried about negative evaluation,Fear
Professor recommended me for lifetime achievement,Joy
anxious lab experiment result,Fear
Research project lost all credibility,Sad
Fell sick during the English day,Sad
Got accepted to academic pantheon,Joy
I went to lab for practicals.,Neutral
 The attendance rule is just ridiculous.,Angry
Attended academic workshop,Neutral
I got highest marks for exams.,Joy
Research findings completely dismissed,Sad
 I cried so hard because I feel lonely.,Sad
Felt angered by project rejection,Angry
Got cut from academic society,Sad
what if I mess everything up?,Fear
scared competitive graduate school application,Fear
professor offered research position,Joy
Scared to ask for help,Fear
Classmate spread false rumors about me,Angry
worried maintaining gpa,Fear
Got accepted to cosmic academic consciousness,Joy
get recommendation letter professor,Sad
anxious peer collaboration,Fear
presentation went terribly wrong,Sad
Nervous about meeting deadlines,Fear
worried clinical rotation performance,Fear
Worried about internship placement,Fear
my partner rejecting me now.,Sad
Academic network providing valuable connections,Joy
professor gave unfair grade,Sad
Submitted conference abstract,Neutral
Friends are very nice to me.,Joy
Got funding for international research trip,Joy
I enjoyed the cultural day at campus,Joy
Reviewed academic protocols,Neutral
study environment conducive,Neutral
The seminar hall is on the first floor.,Neutral
Afraid of failing project milestone,Fear
worried professional networking,Fear
I got sick so I was unable to go to competition.,Sad
assignment deadline next week,Neutral
Won the debate,Joy
Got enraged by policy changes,Angry
Updated research proposal,Neutral
Could not eat because canteen was closed,Sad
Research skills improving dramatically,Joy
campus wifi password changed,Neutral
Attended professional development,Neutral
professor using new textbook,Neutral
 delighted our plan worked perfectly,Joy
thesis advisor completely unhelpful,Angry
discussion section meet twice weekly,Neutral
I can not stand these constant schedule changes.,Angry
Submitted empirical paper,Neutral
peer review comment devastating,Sad
research proposal lacks originality,Sad
Got rejected from prestigious fellowship,Sad
worried thesis topic approval,Fear
handle pressure,Fear
Professor questioned my analytical skills,Sad
professor teach three section,Neutral
Reviewed scholarship criteria,Neutral
afraid letting team,Fear
I felt so sorry about my academic life.,Sad
exam paper graded incorrectly,Angry
Participated in group discussion,Neutral
Got perfect score on comprehensive exam,Joy
Failed my mid exam,Sad
Scared of academic rejection,Fear
submitted assignment before deadline,Neutral
How dare he to insult me!,Angry
Our club outing was the highlight of the week,Joy
Anxious about my writing skills,Fear
Research findings influencing policy decisions,Joy
afraid academically prepared,Fear
Felt provoked by research criticism,Angry
Completed group work assignment,Neutral
Lost my notes,Sad
The photocopier is fixed now.,Neutral
Academic skills preparing me for future career,Joy
I stopped relationship and my heart borken into pieces ,Sad
Missed the bus to campus today,Sad
Internship application was rejected,Sad
balance work study,Sad
we did not win the match.,Sad
 uploading the slides now.,Neutral
I passed mid exam successfully.,Joy
Worried about GPA impact,Fear
Missed my partner who is living far away from me.,Sad
Attendace are compulsory I Hate that rule.,Angry
I bought a new beautifull dress.,Joy
Frustration ,Angry
Professor offered partnership in consulting work,Joy
Got funding for thesis research project,Joy
Reviewed research findings,Neutral
scared independent research project,Fear
 mad at how they never explain what is expected.,Angry
I have got an A+ for four credit subject.,Joy
We danced together at the celebration,Joy
received academic excellence recognition,Joy
I was happy to share lunch with my classmates,Joy
thesis defense scheduled poorly,Angry
The class was cancelled today.,Neutral
I am best performer in the competiton.,Joy
Submitted reflection paper,Neutral
Felt furious about unfair deadlines,Angry
Work load is high . ,Angry
Felt there is no one for me.,Sad
I have no beauiful clothes to wear .,Sad
Felt angered by peer behavior,Angry
I was thrilled to see my exam results,Joy
Professor offered position as strategic advisor,Joy
financial aid office lost paperwork,Angry
Portal was down again,Angry
anxious dissertation proposal,Fear
worried research funding,Fear
 I not performed well in mid exam.,Sad
Completed evaluative research,Neutral
Missed the last train to home,Sad
Academic advisor lost all confidence,Sad
I get feared when there is a presenation.,Fear
They annoyed me so I angry with those.,Angry
Missed my family,Sad
My group leader is very rude.,Angry
Attended study skills workshop,Neutral
Attendance is compulsory for the undergraduates to face the end exam,Angry
worried thesis writing process,Fear
Research project lost institutional support,Sad
Classmate undermined my progress,Angry
adapt university life,Fear
got accepted summer research fellowship,Joy
Got funding for research benefiting all humanity,Joy
need check academic calendar,Neutral
Got angry over unexpected assignment changes,Angry
Best friend got into same university,Joy
Hey,Neutral
angry that the university doesnât provide enough parking.,Angry
The assignment is due next week.,Neutral
Got excluded from department symposium,Sad
I am afraid of ragging.,Fear
Classmate challenged my abilities unfairly,Angry
Got rejected from university recognition,Sad
anxious group presentation tomorrow,Fear
Got rejected from scholarly collaboration,Sad
Instructor dismissed my explanation abruptly,Angry
scared making mistake lab,Fear
Failed my most important exam today,Sad
Anxious about not understanding exam questions,Fear
I was proud to present my project to the class,Joy
I am eating.,Neutral
What if my crush reject me.,Fear
Scared of public speaking in class,Fear
Attended methodology session,Neutral
course evaluation system biased,Angry
Not ok with my univeristy friends.,Sad
What if we couldn't be able to do.,Fear
we failed in our matches.,Sad
anxious meeting advisor,Fear
Someone talking rudely,Angry
campus mental health resource insufficient,Angry
I hate you .,Angry
Completed data analysis,Neutral
aced chemistry exam today,Joy
Academic work deemed completely inadequate,Sad
campus maintenance never fix anything,Angry
Academic performance deteriorating rapidly,Sad
Got frustrated with conflicting feedback,Angry
paper got rejected student conference,Sad
Classmate belittled my ideas repeatedly,Angry
We played games in the common room,Joy
poem published literary magazine,Joy
afraid academic performance evaluation,Fear
Study methods proving completely inadequate,Sad
worried social anxiety class,Fear
My laptop got stolen .,Sad
professor assigns homework break period,Angry
I am submitting my work tonight.,Neutral
Academic probation notice arrived today,Sad
worried upcoming job interview,Fear
Why do they keep giving us pointless assignments?,Angry
I was excited to start my new project,Joy
won environmental sustainability challenge,Joy
Worried about academic probation,Fear
I  am very angry with my roommates.,Angry
Felt betrayed by group project partner,Angry
 glad I found a helpful study group,Joy
Scared that my voice will be shaky,Fear
Landing teaching assistant position,Joy
Professor mentioned my work in lecture,Joy
Attended academic summit,Neutral
They beat on me so I fight back.,Angry
Got frustrated with project obstacles,Angry
Got upset over conflicting feedback,Angry
The group meeting is in room 204.,Neutral
Had fun walking around campus in the evening,Joy
Got angry after being excluded from team,Angry
got kicked honor program,Sad
attending workshop weekend,Neutral
Professor questioned my research ethics,Sad
I hate when exams are near.,Angry
Academic mentor advocating for my success,Joy
due to low attendance I ineligible for final exam.,Sad
Got accepted to pinnacle academic society,Joy
Got irritated by lab partner mistakes,Angry
I got ineligible without knowing.,Sad
Some friends talked behind our back and pretended like nothing happened.,Angry
got rejected internship application,Sad
my depatment is health promotion,Neutral
Classmate dismissed my contribution,Angry
Anxious about balancing studies and personal life,Fear
Group member sabotaged my work,Angry
anxious comprehensive portfolio review,Fear
Academic advisor doubts my capabilities,Sad
Feeling joyful vacation is near.,Joy
Scolded by lecturer today.,Sad
reading research article,Neutral
Completed archival research,Neutral
Got irritated by constant assignment changes,Angry
 The classroom is always too noisy.,Angry
Attended scholarly presentation,Neutral
Could not attend the inter faculty match,Sad
failed driving test third time,Sad
They beat on me so I fight back.,Angry
professor question choice major,Sad
got rejected graduate school,Sad
laboratory session went well,Neutral
Reviewed research implications,Neutral
Attended scholarly workshop,Neutral
afraid prepared enough,Fear
Missed the bus for sports practice,Sad
Not ok with my univeristy friends.,Sad
I am happy to learn something new today,Joy
We enjoyed a football match after class,Joy
Fear that my thesis is not good enough,Fear
Let me know when you are free,Neutral
I am the batch top at my batch.,Joy
I am not good at studying felt sad about that.,Sad
professor return assignment promptly,Angry
Met my love from the univeristy.,Joy
afford go home holiday,Sad
Scholarship application was denied,Sad
Fear of negative feedback from lecturers,Fear
Academic portfolio showcasing strong work,Joy
Afraid of public criticism,Fear
Missed the drama rehearsal due to rain,Sad
Research findings could make real impact,Joy
Could not go home for Christmas,Sad
Classmate disrespected my opinion,Angry
Afraid of group project failure,Fear
Instructor unfairly compared students,Angry
I got bad grades in last semester.,Sad
I met rude friends from univeristy.,Sad
Classmate sabotaged lab preparation,Angry
We took part in the singing contest,Joy
Anxious about balancing work and study,Fear
Got funding for transformative research program,Joy
We had fun planning the next club event,Joy
We like robots working without a free time.,Angry
afraid meeting deadline,Fear
Completed multi-site research,Neutral
I am going to faculty canteen.,Neutral
graduate time,Fear
best friend transferred another university,Sad
Academic poster won competition prize,Joy
Academic advisor seems disappointed in me,Sad
scared fieldwork assignment,Fear
cried because I feel sad today.,Sad
updating my presentation slides.,Neutral
project got featured campus newsletter,Joy
Submitted discussion board post,Neutral
lab session tomorrow morning,Neutral
Academic advisor excited about my progress,Joy
mad that some students skip class and still pass.,Angry
I was happy to share my ideas in the meeting,Joy
Graduation day finally arrived successfully,Joy
Completed interpretive study,Neutral
 going to refill my water bottle.,Neutral
I will check the notice board later.,Neutral
Attended methodology workshop,Neutral
Attended academic conference,Neutral
 I not performed well in mid exam.,Sad
I can not live I want to go home.,Sad
research data got corrupted,Sad
Scared of missing important deadlines,Fear
Superviosr rejected my research topic.,Sad
Scared of academic criticism,Fear
Study group doesn't want me anymore,Sad
scared research presentation,Fear
I actually hate this academic preassure .,Angry
Got furious over scholarship denial,Angry
scared speaking front class,Fear
Worried about academic recognition,Fear
I angry with university system in sri lanka,Angry
Scared of project criticism,Fear
Instructor ignored my concerns,Angry
Updated course notes,Neutral
Attended academic roundtable,Neutral
I donot like to see that face again.,Angry
Work load is too much.,Angry
got early admission law school,Joy
Got furious about lab evaluation errors,Angry
They give assignment again and again no freedom.,Angry
Got rejected from special program,Sad
Had to skip lunch due to no money,Sad
Academic work criticized as superficial,Sad
I am a female.,Neutral
Financial aid was significantly reduced,Sad
Afraid of course failure,Fear
Got cut from journal publication,Sad
coding project actually work,Joy
Attendance compulsory to exam what the fuck is this,Angry
I wake up 5 Am at every morninig.,Neutral
Got angry after being excluded from team,Angry
professor gave harsh feedback project,Sad
peer evaluation score manipulated,Angry
 I hate being blamed for othersâ mistakes.,Angry
Could not submit the lab report,Sad
The timetable was updated yesterday.,Neutral
Scared of negative peer feedback,Fear
Professor offered position in think tank,Joy
Completed action research,Neutral
 The library closes too early.,Angry
Professor offered position as department head,Joy
Missed the deadline for assignment submission,Sad
Got lowest grade in entire class,Sad
I met funny guys from university.,Joy
summer internship application accepted,Joy
library full today,Neutral
Academic mentor proud of journey together,Joy
Professor criticized my writing severely,Sad
anxious comprehensive exam,Fear
campus facility modern,Neutral
Scared of public speaking failure,Fear
Submitted technical report,Neutral
got lower grade expected final,Sad
Academic performance reached new low,Sad
Had fun working on the group task in class,Joy
we went to ruwanweliseya yesterday,Neutral
afford study abroad program,Sad
I enjoyed chatting with my roommate,Joy
Got accepted to exclusive doctoral program,Joy
Anxious about presentation timing,Fear
checking grade online,Neutral
Felt provoked by administrative issues,Angry
I did not perform well in final exam.,Sad
Participated in class survey,Neutral
Submitted political study,Neutral
got disappointing result standardized test,Sad
Research findings illuminating universal truth,Joy
Hate rude seniors.,Angry
Completed course evaluation,Neutral
The timetable is the same as last week.,Neutral
we have no water supply for a 24 hours.,Angry
Got furious after negative peer review,Angry
Lost my notes,Sad
won entrepreneurship challenge,Joy
Research findings contributing to field knowledge,Joy
Academic mentor celebrating historic achievement,Joy
afraid failing internship,Fear
I am walking to the admin office.,Neutral
Those seniors disturbing on us again and again.,Angry
Got angry at lack of academic support,Angry
Professor offered position as program director,Joy
The campus wi-fi is constantly cutting out.,Angry
Afraid of failing final exam,Fear
The canteen has rice and curry today.,Neutral
Worried about submitting on time,Fear
Academic work lacks sufficient depth,Sad
Worried about submitting late assignment,Fear
Missed an important lab practical,Sad
professor accommodate learning difference,Angry
Scared of making mistakes in lab,Fear
cried because I feel sad today.,Sad
We like robots working without a free time.,Angry
Classmate took credit for group work,Angry
Made lifelong friends in dormitory,Joy
afraid public speaking assignment,Fear
Got recognition from academic department,Joy
scared meeting expectation,Fear
Professor refused any further involvement,Sad
Completed group presentation prep,Neutral
anxious fellowship application,Fear
I am not sure I will graduate on time.,Fear
My boyfriend talking with another girls.,Angry
Attended peer mentoring,Neutral
professor show late every class,Angry
Worried about thesis review,Fear
campus parking permit expires soon,Neutral
No unity among in the batch mates.,Angry
Research findings getting attention from experts,Joy
Nervous about oral defense,Fear
Reviewed syllabus requirements,Neutral
Got excluded from department honors,Sad
Nervous about exam performance,Fear
Lecturers cutoff our marks not get what expect as results.,Angry
cope academic pressure,Sad
Professor recommended me for leadership role,Joy
Professor expressed disappointment openly,Sad
I am happy about my progress.,Joy
Academic achievements opening new doors,Joy
Attended thesis defense,Neutral
I am enjoying with my homies.,Joy
Professor offered position as institute fellow,Joy
professor said work groundbreaking,Joy
Academic mentor introducing me to opportunities,Joy
scared smart enough program,Fear
I hate this work load its too much to handle.,Angry
Nervous about the viva panel,Fear
Felt mocked in discussion session,Angry
professor said thesis publication ready,Joy
Got excluded from department activities,Sad
professor praised innovative solution,Joy
experiment failed after month work,Sad
Noisy roomates hate them.,Angry
Nervous about project presentation,Fear
Got funding for research changing humanity,Joy
I got scared ,Fear
Professor recommended me for university chair,Joy
Got cut from competitive academic program,Sad
Felt provoked by professors sarcasm,Angry
worried family financial struggle,Fear
Got frustrated after repeated failure,Angry
We will have a quiz next Monday.,Neutral
Got accepted to competitive summer program,Joy
handle course workload,Fear
professor respond email,Sad
Got funding for groundbreaking research initiative,Joy
Attended peer review session,Neutral
Got selected for international research team,Joy
Academic goals require complete reassessment,Sad
I was smiling the whole day today,Joy
got accepted prestigious summer program,Joy
Scared to submit incomplete assignment,Fear
Got invitation to join research consortium,Joy
Hostel internet was down all night,Sad
secure research position,Fear
The photocopy shop is closed.,Neutral
submitted assignment time,Neutral
scared professional school admission,Fear
professor assigns group work unfairly,Angry
scholarship get revoked,Fear
Felt enraged by academic injustice,Angry
So much work no time even self study something new,Angry
done with class,Neutral
We had a lovely evening at the campus cafÃ©,Joy
Failed a four credit subject.,Sad
Lecturers sometime very annoying.,Angry
Found affordable textbooks online,Joy
Scared to participate in discussion,Fear
taking notes lecture,Neutral
Scared of academic mistakes,Fear
Worried about losing scholarship,Fear
Professor ignored my questions in class,Angry
get ticket graduation ceremony,Sad
we laughed so much today,Joy
I got slected to do 4th year.,Joy
Instructor ignored my emails repeatedly,Angry
Afraid I will forget important points,Fear
I am joining the group meeting at 3.,Neutral
professor said ready advanced research,Joy
Joined new student organization,Neutral
campus dining plan option expensive,Angry
I hate this univeristy culture.,Angry
failed midterm exam despite studying hard,Sad
Worried about course outcome,Fear
borrowed book library,Neutral
Professor invited me to academic conference,Joy
library close pm tonight,Neutral
residence hall rule way strict,Angry
Instructor questioned my research integrity,Angry
My friends are absent today.,Sad
course material outdated,Angry
 The campus is so dirty and nobody cares.,Angry
Landed amazing internship opportunity,Joy
Completed longitudinal analysis,Neutral
Got rejected from academic program,Sad
I met my mom.,Joy
professor posted new slide online,Neutral
Could not buy tea at canteen,Sad
study progress steady,Neutral
Professor offered position in research lab,Joy
Nervous about faculty judgment,Fear
anxious qualifying examination,Fear
Nervous about meeting expectations,Fear
Got a low grade In every exams.,Sad
 The lab assistants are unprofessional.,Angry
Completed environmental research,Neutral
The lab computers were updated.,Neutral
Reviewed conference proceedings,Neutral
Academic paper got positive peer reviews,Joy
campus bookstore overcharge everything,Angry
Completed normative research,Neutral
registration system crashed during enrollment,Angry
course syllabus keep changing,Angry
campus event poorly organized,Angry
Got rejected from scholarly conference,Sad
Study habits proving ineffective repeatedly,Sad
Attended research seminar,Neutral
Lecturer shouted at me in front of class,Sad
Completed quantitative analysis,Neutral
Got the internship .,Joy
Clothes are missing in hostel.,Angry
Nervous about presenting in class,Fear
course website never updated,Angry
anxious fellowship application,Fear
Noisy classroom disturbed me,Angry
documentary won film festival award,Joy
Worried about failing prerequisites,Fear
Professor invited me to establish new program,Joy
Friends teased me for my rural accent,Sad
course prerequisite clearly stated,Angry
Won the argument with a friend.,Joy
terrified tomorrow final exam,Fear
I willl meet you after the lectures,Neutral
WE always being last to complete the task.,Fear
Research collaboration creating better world,Joy
Attended scholarly debate,Neutral
There was a power cut during our study period time.,Angry
got dream job offer before graduation,Joy
Felt provoked by group disagreement,Angry
I have met nice friends in univeristiy.,Joy
lost research note right before submission,Sad
Submitted assignment on time,Neutral
Reviewed peer feedback,Neutral
I went to batch meeting.,Neutral
worried student loan debt,Fear
Stress about my GPA .,Fear
I forgot my ID card in the room.,Neutral
 The internet is too slow to even browse.,Angry
I can not stand being ignored by my classmates.,Angry
research data accidentally deleted,Angry
Thesis proposal was completely dismissed,Sad
afraid asking professor help,Fear
Worried about the viva location,Fear
I was sick and unable to face the mid exam.,Sad
Our drama rehearsal was very entertaining,Joy
roommate keep fighting,Sad
Instructor showed bias in grading,Angry
campus shuttle schedule posted,Neutral
Classmate ignored my suggestions,Angry
worried research project deadline,Fear
academic advisor seems uninterested,Sad
Anxious about having no backup plan,Fear
Found subject that truly inspires me,Joy
Got blamed for group project failure,Angry
get teaching assistant position,Sad
Scared to present in front of strangers,Fear
Worried about research deadlines,Fear
We did every viva nicely.,Joy
 The class timings are unreasonable.,Angry
What if Im not good enough?,Fear
Completed statistical analysis,Neutral
Participated in group project meeting,Neutral
Lecturer always blaming on me without a valid reason.,Angry
Worried about course load,Fear
Did not get enough support from the supervisor.,Sad
I lost my first class.,Sad
anxious qualifying examination,Fear
Academic achievements feel meaningless now,Sad
 The hostel Wi-Fi is a joke.,Angry
Parents proud of academic achievements,Joy
perfect attendance award semester,Joy
Instructor ignored my project concerns,Angry
Attended lab session,Neutral
scared graduate school interview,Fear
professor questioned research method,Sad
Applied for summer internship,Neutral
Missed everything .,Sad
we have no water supply for a 24 hours.,Angry
terrified tomorrow final exam,Fear
completed project outline,Neutral
Academic conference accepted my abstract,Joy
 waiting near the main gate.,Neutral
Lecturer did not show ontime.,Angry
study space available,Neutral
Why I am the only one who cares about this project?,Angry
We won the class quiz competition,Joy
Received encouraging email from department head,Joy
afraid academic competition,Fear
need update student information,Neutral
app reached downloads,Joy
secure research position,Fear
The assignment is in the portal now.,Neutral
Academic goals completely shattered now,Sad
Updated LinkedIn profile,Neutral
I met my love from univeristy.,Joy
Instructor ignored my emails repeatedly,Angry
finished morning lecture,Neutral
Completed economic research,Neutral
I am going to the stationery shop.,Neutral
We have a lab session tomorrow.,Neutral
Completed laboratory study,Neutral
campus shuttle run every minute,Neutral
Had a wonderful moment in the art workshop,Joy
Scared of research failure,Fear
Fear that I will fail my practical exam,Fear
Got rejected from leadership program,Sad
Completed peer review assignment,Neutral
I got mad with my friends.,Angry
family attend graduation,Sad
Instructor dismissed my concerns publicly,Angry
Professor questioned my research integrity,Sad
research funding cut without notice,Angry
worried research project deadline,Fear
Had a nice time decorating the event hall,Joy
got accepted competitive residency,Joy
assignment deadline next week,Neutral
Academic work lacks originality according to professor,Sad
Finished the project early. ,Joy
Academic presentation skills improving rapidly,Joy
Reviewed validity measures,Neutral
Failed most important subject.,Sad
They never listen to me.,Angry
Groupmates didnot contribute,Angry
Got a A pass for my exam ,Joy
meeting study group pm,Neutral
Classmate misrepresented my work,Angry
 They never fix the broken air conditioning.,Angry
Reviewed analytical methods,Neutral
get lab wanted,Sad
presentation scheduled friday,Neutral
Missed my viva because of illness,Sad
Got recognition for community service work,Joy
Attended academic workshop,Neutral
